date,markets,active_markets,fills,pnl_usdc,start_equity,end_equity,return_pct,max_intraday_dd_pct,br2_late_favourite_load_pnl,br2_late_confirm_pnl,br2_high_skew_load_pnl,br2_convex_tail_pnl,br2_late_favourite_load_fills,br2_late_confirm_fills,br2_high_skew_load_fills,br2_convex_tail_fills
2026-02-27,100,15,25,31.19,1000.00,1031.19,3.1187,3.0444,23.50,4.53,3.16,0.00,11,8,6,0
2026-02-28,288,27,62,114.17,1031.19,1145.36,11.0721,3.9001,85.27,31.93,0.78,-3.81,30,10,20,2
2026-03-01,288,53,104,12.91,1145.36,1158.27,1.1268,7.5071,-41.90,40.75,8.83,5.23,35,48,17,4
2026-03-02,288,69,150,-75.95,1158.27,1082.31,-6.5574,16.3802,-119.83,-0.97,8.63,36.22,71,37,36,6
2026-03-03,288,73,154,307.92,1082.31,1390.23,28.4499,10.5823,170.98,88.29,53.52,-4.87,62,53,34,5
2026-03-04,288,99,239,437.38,1390.23,1827.61,31.4611,18.2257,111.61,311.22,29.32,-14.77,91,82,58,8
2026-03-05,288,73,133,523.26,1827.61,2350.87,28.6308,5.6661,270.71,243.84,10.62,-1.91,47,59,17,10
2026-03-06,288,64,127,9.08,2350.87,2359.95,0.3861,16.0126,4.38,58.05,-48.23,-5.12,44,54,23,6
2026-03-07,288,15,29,-52.13,2359.95,2307.82,-2.2090,6.5461,-28.35,-3.71,-18.62,-1.46,10,10,7,2
2026-03-08,288,41,74,477.17,2307.82,2784.98,20.6760,2.9323,247.33,188.59,37.43,3.83,26,29,14,5
2026-03-09,288,71,148,180.58,2784.98,2965.57,6.4842,12.6311,117.05,17.30,57.12,-10.88,61,49,33,5
2026-03-10,288,63,129,460.17,2965.57,3425.74,15.5170,5.1926,320.13,50.00,91.03,-1.00,57,39,28,5
2026-03-11,288,64,121,676.81,3425.74,4102.55,19.7567,8.1738,197.99,322.85,131.99,23.98,44,46,27,4
2026-03-12,288,48,98,-187.65,4102.55,3914.90,-4.5740,8.9212,-87.11,-58.55,-36.06,-5.92,35,34,26,3
2026-03-13,288,54,105,-327.80,3914.90,3587.10,-8.3731,12.6623,43.41,-306.39,-54.91,-9.90,45,27,28,5
2026-03-14,288,8,12,44.82,3587.10,3631.92,1.2494,2.6122,-56.97,136.73,-33.13,-1.81,1,7,3,1
2026-03-15,288,11,16,-88.80,3631.92,3543.12,-2.4450,3.5254,45.12,-144.05,10.12,0.00,3,11,2,0
2026-03-16,288,49,96,-224.84,3543.12,3318.27,-6.3459,13.9510,-7.07,-261.12,34.61,8.74,29,35,26,6
2026-03-17,288,48,97,1310.35,3318.27,4628.62,39.4888,4.5003,246.31,689.31,391.39,-16.67,24,38,27,8
2026-03-18,288,24,44,426.15,4628.62,5054.77,9.2068,1.6013,189.06,244.26,3.75,-10.92,17,14,8,5
2026-03-19,288,39,75,162.38,5054.77,5217.15,3.2124,4.9747,-174.70,519.98,-180.33,-2.57,30,25,19,1
2026-03-20,288,32,63,499.74,5217.15,5716.88,9.5788,3.2208,501.08,-138.17,118.00,18.83,24,13,21,5
2026-03-21,288,1,1,24.52,5716.88,5741.41,0.4290,0.0000,24.52,0.00,0.00,0.00,1,0,0,0
2026-03-22,288,17,26,8.98,5741.41,5750.39,0.1564,2.1827,-7.77,7.45,11.57,-2.27,9,4,12,1
2026-03-23,288,47,98,367.21,5750.39,6117.60,6.3859,8.7758,69.15,538.25,-227.97,-12.21,40,20,33,5
2026-03-24,288,35,68,391.84,6117.60,6509.44,6.4050,7.3622,223.82,191.09,-20.60,-2.47,27,20,19,2
2026-03-25,288,26,45,-165.98,6509.44,6343.46,-2.5498,5.7992,-15.08,-176.89,27.48,-1.50,17,12,15,1
2026-03-26,288,23,31,34.86,6343.46,6378.32,0.5495,3.2409,-22.92,-10.62,77.36,-8.96,9,11,8,3
2026-03-27,288,20,36,110.76,6378.32,6489.08,1.7366,4.7920,9.39,-12.96,118.88,-4.56,14,12,9,1
2026-03-28,288,3,3,-57.22,6489.08,6431.86,-0.8818,1.6090,26.01,-83.23,0.00,0.00,1,2,0,0
2026-03-29,288,4,9,70.02,6431.86,6501.88,1.0886,1.5707,128.98,-102.03,43.07,0.00,4,1,4,0
2026-03-30,288,30,45,115.59,6501.88,6617.47,1.7777,3.5930,209.81,-99.48,14.27,-9.01,10,22,10,3
2026-03-31,288,23,38,197.44,6617.47,6814.90,2.9836,2.9430,209.91,-78.69,66.98,-0.76,11,15,11,1
2026-04-01,288,36,59,383.08,6814.90,7197.99,5.6213,3.6057,452.65,18.94,-86.44,-2.07,25,13,19,2
2026-04-02,288,26,41,37.37,7197.99,7235.35,0.5191,6.0249,-171.27,237.95,-21.21,-8.10,17,14,8,2
2026-04-03,288,9,13,61.42,7235.35,7296.77,0.8489,1.5703,138.31,-114.10,37.21,0.00,6,1,6,0
2026-04-04,288,1,1,12.90,7296.77,7309.67,0.1767,0.0000,12.90,0.00,0.00,0.00,1,0,0,0
2026-04-05,288,6,10,54.53,7309.67,7364.20,0.7460,1.4440,-29.67,74.86,9.33,0.00,8,1,1,0
2026-04-06,288,25,48,219.37,7364.20,7583.56,2.9788,3.9201,117.76,118.68,-12.89,-4.19,19,14,13,2
2026-04-07,288,26,39,137.84,7583.56,7721.41,1.8176,7.1109,19.07,45.74,76.56,-3.53,11,19,7,2
2026-04-08,288,34,69,113.45,7721.41,7834.86,1.4693,10.1659,109.56,-416.92,437.21,-16.40,15,28,22,4
2026-04-09,288,22,29,22.84,7834.86,7857.70,0.2916,2.8340,58.24,-111.33,75.93,0.00,12,5,12,0
2026-04-10,288,30,56,264.14,7857.70,8121.84,3.3615,4.9657,277.83,-130.47,117.44,-0.66,20,18,17,1
2026-04-11,288,2,4,47.89,8121.84,8169.72,0.5896,0.0000,46.40,1.92,0.00,-0.43,2,1,0,1
2026-04-12,288,4,8,237.97,8169.72,8407.69,2.9128,0.0000,57.72,183.86,0.00,-3.61,4,3,0,1
2026-04-13,288,32,57,1015.72,8407.69,9423.41,12.0808,1.1782,339.31,500.27,179.44,-3.30,28,10,17,2
2026-04-14,288,32,48,141.06,9423.41,9564.47,1.4969,3.3378,45.78,92.86,2.43,0.00,19,20,9,0
2026-04-15,286,20,33,109.96,9564.47,9674.43,1.1497,3.2256,92.97,73.42,-51.04,-5.38,7,11,14,1
2026-04-16,286,27,41,89.91,9674.43,9764.34,0.9293,4.1550,84.39,-16.58,30.04,-7.94,15,16,9,1
2026-04-17,288,33,51,147.79,9764.34,9912.13,1.5136,6.0013,270.73,-318.32,198.22,-2.84,18,13,19,1
2026-04-18,288,10,13,233.19,9912.13,10145.32,2.3526,2.0752,79.81,171.04,-17.65,0.00,4,6,3,0
2026-04-19,288,12,18,124.06,10145.32,10269.38,1.2228,2.1755,97.46,-12.74,41.28,-1.94,6,3,8,1
2026-04-20,288,25,35,-299.98,10269.38,9969.41,-2.9211,4.5019,-219.26,-141.40,60.68,0.00,8,13,14,0
2026-04-21,288,21,41,391.21,9969.41,10360.62,3.9241,1.9022,149.49,324.99,-67.45,-15.83,15,6,16,4
2026-04-22,288,40,72,144.22,10360.62,10504.84,1.3920,6.0556,136.52,-9.61,29.56,-12.25,25,13,30,4
2026-04-23,288,41,74,-516.05,10504.84,9988.79,-4.9125,7.8601,-162.10,-385.61,36.60,-4.93,20,22,28,4
2026-04-24,288,20,39,294.15,9988.79,10282.94,2.9448,1.3440,-6.94,122.85,86.54,91.70,17,8,9,5
2026-04-25,288,0,0,0.00,10282.94,10282.94,0.0000,0.0000,0.00,0.00,0.00,0.00,0,0,0,0
2026-04-26,288,5,13,291.79,10282.94,10574.73,2.8376,0.0000,92.06,169.37,40.05,-9.69,5,3,3,2
2026-04-27,288,18,23,-118.15,10574.73,10456.58,-1.1173,3.0120,-135.89,-9.96,30.45,-2.75,11,7,3,2
2026-04-28,288,8,9,134.46,10456.58,10591.04,1.2859,1.8248,30.24,104.22,0.00,0.00,3,6,0,0
2026-04-29,288,15,19,-138.72,10591.04,10452.31,-1.3098,2.9982,-24.74,-114.71,6.18,-5.45,4,9,4,2
2026-04-30,288,7,13,-310.29,10452.31,10142.02,-2.9687,3.4464,-40.21,-123.77,-146.32,0.00,6,3,4,0
2026-05-01,288,8,13,1.82,10142.02,10143.84,0.0180,1.5014,30.03,-110.99,84.14,-1.37,2,4,6,1
2026-05-02,288,0,0,0.00,10143.84,10143.84,0.0000,0.0000,0.00,0.00,0.00,0.00,0,0,0,0
2026-05-03,288,1,1,1.25,10143.84,10145.09,0.0124,0.0000,0.00,0.00,1.25,0.00,0,0,1,0
2026-05-04,288,23,42,54.36,10145.09,10199.45,0.5358,2.4957,-2.20,-9.25,71.31,-5.50,20,7,13,2
2026-05-05,288,14,22,168.62,10199.45,10368.06,1.6532,2.8040,181.88,28.89,-36.37,-5.78,11,3,7,1
2026-05-06,288,14,21,-177.08,10368.06,10190.98,-1.7080,3.8330,-103.98,-113.04,41.18,-1.24,8,6,6,1
2026-05-07,284,14,20,32.41,10190.98,10223.39,0.3181,2.4802,-186.76,257.51,-33.16,-5.18,3,8,7,2
2026-05-08,288,7,10,-44.54,10223.39,10178.85,-0.4357,1.5310,-95.83,14.80,37.93,-1.45,4,1,4,1
2026-05-09,288,0,0,0.00,10178.85,10178.85,0.0000,0.0000,0.00,0.00,0.00,0.00,0,0,0,0
2026-05-10,288,3,9,-2.72,10178.85,10176.13,-0.0268,1.2279,-124.19,113.29,8.33,-0.16,6,1,1,1
2026-05-11,288,4,4,-51.95,10176.13,10124.18,-0.5105,1.4722,8.27,-60.22,0.00,0.00,2,2,0,0
2026-05-12,288,4,8,-115.16,10124.18,10009.02,-1.1374,1.7799,-11.35,-49.95,-53.85,0.00,3,2,3,0
2026-05-13,288,7,9,5.46,10009.02,10014.48,0.0546,0.5968,15.27,28.72,-38.52,0.00,3,3,3,0
2026-05-14,288,10,13,89.93,10014.48,10104.41,0.8980,1.5471,163.32,-127.31,55.63,-1.71,6,2,4,1
2026-05-15,285,10,12,-420.81,10104.41,9683.60,-4.1646,4.3156,-211.83,-155.19,-53.79,0.00,5,2,5,0
2026-05-16,288,2,2,37.80,9683.60,9721.40,0.3903,0.0000,37.80,0.00,0.00,0.00,2,0,0,0
2026-05-17,288,2,4,-134.38,9721.40,9587.02,-1.3823,1.4073,1.34,-136.81,1.41,-0.33,1,1,1,1
2026-05-18,288,27,41,178.65,9587.02,9765.67,1.8635,4.3991,54.07,112.52,22.00,-9.93,18,9,10,4
2026-05-19,288,3,4,83.41,9765.67,9849.08,0.8541,0.0000,50.20,2.96,30.26,0.00,1,1,2,0
2026-05-20,288,7,11,141.13,9849.08,9990.21,1.4329,0.6166,87.89,40.63,17.64,-5.04,6,2,1,2
